name,address,lat,lng,rating,reviews,location_name,fsq_id
Hearth on the First,"Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Wok Express,"Shop 3, Ground Floor, Rajmahal Building, 84 Veer Nariman Road, Church Gate, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Gaylord Restaurant,"V. N. Road (Churchgate), Mumbai 400 020, Mahārāshtra",0,0,,0,Churchgate,
K Rustoms Ice Cream,"Veer Nariman Rd, Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Markiv's,"Jamshedji Tata Road, Mumbai 400 020, Mahārāshtra",0,0,,0,Churchgate,
The Society - The Ambassador,"V.N. Road, Churchgate (Mumbai), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
The Dome,"The Intercontinental Marine Drive (135 Marine Drive), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Churchgate,"Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Natural's Ice Cream Parlour,"Marine Drive, Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Tbz,"Shop No 2, Sunder Mahal, 92, Veer Nariman Road, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Mumbai Hockey Association Ground,,0,0,,0,Churchgate,
Mocking Bird Cafe & Bar,"Next to Ambassador (Churchgate), Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Eros Cinema,"M.K.Road, Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Subway,"Eros Cinema Building, Churchgate (Veer Nariman Rd.), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Dudh Nath Panwala,"137 Jyoti Sadan A Road, Beside Intercontinental Hotel, Church Gate, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
Kebab Korner,"The Intercontinental Marine Drive (135 Marine Drive), Mumbai 400 020, Mahārāshtra",0,0,,0,Churchgate,
"Long & Short, The GastroBar","Level 1, The InterContinental Marine Drive (135 Marine Drive), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Onyx,"Hotel Intercontinental (135 Marine Drive), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
Café Coffee Day,"Churchgate Station (Next To Eros Theatre), Mumbai 400020, Mahārāshtra",0,0,,0,Churchgate,
kebab corner inter cntinental,,0,0,,0,Churchgate,
Eros Theatre,"JN Tata Road, Mumbai, Mahārāshtra",0,0,,0,Churchgate,
